ct,tot,moe,tot_afghan,moe_afghan,tot_albanian,moe_albanian,tot_alsatian,moe_alsatian,tot_american,moe_american,tot_arab,moe_arab,tot_arab_egyptian,moe_arab_egyptian,tot_arab_iraqi,moe_arab_iraqi,tot_arab_jordanian,moe_arab_jordanian,tot_arab_lebanese,moe_arab_lebanese,tot_arab_moroccan,moe_arab_moroccan,tot_arab_palestinia,moe_arab_palestinian,tot_arab_syrian,moe_arab_syrian,tot_arab_arab,moe_arab_arab,tot_arab_other_arab,moe_arab_other_arab,tot_armenian,moe_armenian,tot_assyrian/chaldean/syriac,moe_assyrian/chaldean/syriac,tot_australian,moe_australian,tot_austrian,moe_austrian,tot_basque,moe_basque,tot_belgian,moe_belgian,tot_brazilian,moe_brazilian,tot_british,moe_british,tot_bulgarian,moe_bulgarian,tot_cajun,moe_cajun,tot_canadian,moe_canadian,tot_carpatho_rusyn,moe_carpatho_rusyn,tot_celtic,moe_celtic,tot_croatian,moe_croatian,tot_cypriot,moe_cypriot,tot_czech,moe_czech,tot_czechoslovakian,moe_czechoslovakian,tot_danish,moe_danish,tot_dutch,moe_dutch,tot_eastern_european,moe_eastern_european,tot_english,moe_english,tot_estonian,moe_estonian,tot_european,moe_european,tot_finnish,moe_finnish,tot_french_ex_basque,moe_french_ex_basque,tot_french_canadian,moe_french_canadian,tot_german,moe_german,tot_german_russian,moe_german_russian,tot_greek,moe_greek,tot_guyanese,moe_guyanese,tot_hungarian,moe_hungarian,tot_icelander,moe_icelander,tot_iranian,moe_iranian,tot_irish,moe_irish,tot_israeli,moe_israeli,tot_italian,moe_italian,tot_latvian,moe_latvian,tot_lithuanian,moe_lithuanian,tot_luxembourger,moe_luxembourger,tot_macedonian,moe_macedonian,tot_maltese,moe_maltese,tot_new_zealander,moe_new_zealander,tot_northern_european,moe_northern_european,tot_norwegian,moe_norwegian,tot_pennsylvania_german,moe_pennsylvania_german,tot_polish,moe_polish,tot_portuguese,moe_portuguese,tot_romanian,moe_romanian,tot_russian,moe_russian,tot_scandinavian,moe_scandinavian,tot_scotch-irish,moe_scotch-irish,tot_scottish,moe_scottish,tot_serbian,moe_serbian,tot_slavic,moe_slavic,tot_slovak,moe_slovak,tot_slovene,moe_slovene,tot_soviet_union,moe_soviet_union,tot_s_african,moe_s_african,tot_s_african_cape_verdean,moe_s_african_cape_verdean,tot_s_african_ethiopian,moe_s_african_ethiopian,tot_s_african_ghanaian,moe_s_african_ghanaian,tot_s_african_kenyan,moe_s_african_kenyan,tot_s_african_liberian,moe_s_african_liberian,tot_s_african_nigerian,moe_s_african_nigerian,tot_s_african_senegalese,moe_s_african_senegalese,tot_s_african_sierra_leonean,moe_s_african_sierra_leonean,tot_s_african_somali,moe_s_african_somali,tot_s_african_south_african,moe_s_african_south_african,tot_s_african_sudanese,moe_s_african_sudanese,tot_s_african_ugandan,moe_s_african_ugandan,tot_s_african_zimbabwean,moe_s_african_zimbabwean,tot_s_african_african,moe_s_african_african,tot_s_african_other_s_african,moe_s_african_other_s_african,tot_swedish,moe_swedish,tot_swiss,moe_swiss,tot_turkish,moe_turkish,tot_ukrainian,moe_ukrainian,tot_welsh,moe_welsh,tot_w_indians,moe_w_indians,tot_w_indians_bahamian,moe_w_indians_bahamian,tot_w_indians_barbadian,moe_w_indians_barbadian,tot_w_indians_belizean,moe_w_indians_belizean,tot_w_indians_bermudan,moe_w_indians_bermudan,tot_w_indians_british_west_indian,moe_w_indians_british_west_indian,tot_w_indians_dutch_west_indian,moe_w_indians_dutch_west_indian,tot_w_indians_haitian,moe_w_indians_haitian,tot_w_indians_jamaican,moe_w_indians_jamaican,tot_w_indians_trinidadian_and_tobagonian,moe_w_indians_trinidadian_and_tobagonian,tot_w_indians_u.s._virgin_islander,moe_w_indians_u.s._virgin_islander,tot_w_indians_west_indian,moe_w_indians_west_indian,tot_w_indians_other_west_indian,moe_w_indians_other_west_indian,tot_yugoslavian,moe_yugoslavian,tot_other_groups,moe_other_groups,tot_unclass_not_rep,moe_unclass_not_rep
36005002300,4465,642,0,13,0,13,0,13,210,230,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,3,0,13,35,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,9,0,13,0,13,0,13,0,13,1,3,0,13,0,13,0,13,0,13,0,13,0,13,314,339,0,13,0,13,0,13,0,13,0,13,21,33,153,245,0,13,0,13,0,13,0,13,0,13,0,13,140,238,0,13,0,13,0,13,0,13,0,13,0,13,158,107,0,13,0,13,27,42,0,13,34,55,0,13,48,54,49,62,0,13,0,13,0,13,0,13,0,13,3299,655,666,299
36005002400,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005002500,5662,679,0,18,0,18,0,18,234,267,44,69,0,18,0,18,0,18,0,18,0,18,0,18,0,18,44,69,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,68,57,0,18,0,18,0,18,19,17,0,18,0,18,34,44,0,18,14,22,0,18,0,18,0,18,0,18,0,18,0,18,0,18,34,45,0,18,0,18,0,18,0,18,6,11,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,436,304,0,18,0,18,99,109,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,102,109,235,272,0,18,0,18,7,14,21,18,0,18,25,40,0,18,0,18,0,18,0,18,0,18,0,18,0,18,25,40,0,18,0,18,0,18,0,18,0,18,3923,638,879,323
36005002701,2938,583,0,13,0,13,0,13,50,48,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,9,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,19,22,0,13,39,58,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,9,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,92,144,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,92,144,0,13,0,13,0,13,0,13,0,13,0,13,90,110,0,13,0,13,0,13,0,13,0,13,0,13,0,13,68,107,22,36,0,13,0,13,0,13,0,13,2302,546,458,241
36005002702,4413,699,0,13,0,13,0,13,354,363,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,38,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,22,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,18,25,22,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,259,260,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,64,66,195,256,0,13,0,13,0,13,0,13,0,13,202,191,0,13,0,13,0,13,0,13,142,180,0,13,0,13,60,56,0,13,0,13,0,13,0,13,0,13,3244,723,660,359
36005002800,5372,827,0,18,0,18,0,18,25,45,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,45,73,0,18,41,62,0,18,0,18,0,18,0,18,61,88,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,94,155,0,18,0,18,38,60,0,18,0,18,0,18,0,18,0,18,468,321,0,18,0,18,323,247,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,190,203,0,18,38,60,0,18,0,18,0,18,0,18,147,142,0,18,0,18,0,18,0,18,0,18,0,18,0,18,105,133,18,29,0,18,67,73,0,18,0,18,3766,796,1011,436
36005003100,2165,430,0,13,0,13,0,13,108,104,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,8,15,0,13,0,13,0,13,0,13,0,13,0,13,10,17,0,13,15,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,57,76,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,67,20,34,0,13,0,13,0,13,0,13,0,13,51,48,0,13,0,13,0,13,0,13,0,13,0,13,23,35,28,38,0,13,0,13,0,13,0,13,0,13,1838,412,194,141
36005003300,3339,760,0,13,0,13,0,13,317,343,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,16,0,13,16,35,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,130,107,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,92,87,38,58,0,13,0,13,0,13,0,13,0,13,28,44,0,13,0,13,0,13,0,13,28,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2917,737,208,110
36005003500,3880,899,0,13,0,13,0,13,266,226,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,21,0,13,0,13,0,13,15,24,0,13,0,13,0,13,0,13,0,13,0,13,6,13,0,13,12,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,439,517,0,13,0,13,415,517,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,24,38,0,13,0,13,0,13,0,13,0,13,178,279,0,13,0,13,0,13,0,13,178,279,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2535,661,474,307
36005003700,277,83,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,9,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,9,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,25,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,25,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,194,107,53,64
36005003800,1313,153,0,13,0,13,0,13,56,58,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,21,18,0,13,0,13,0,13,0,13,21,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,8,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,8,16,0,13,0,13,0,13,0,13,0,13,838,211,428,162
36005003900,6710,1226,0,18,0,18,0,18,67,102,6,11,0,18,0,18,6,11,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,83,123,0,18,0,18,0,18,0,18,0,18,121,185,0,18,63,101,0,18,0,18,0,18,0,18,0,18,0,18,35,45,0,18,100,153,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,30,44,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,516,687,0,18,0,18,0,18,0,18,0,18,156,211,0,18,0,18,0,18,0,18,0,18,0,18,0,18,247,327,169,224,0,18,0,18,0,18,0,18,0,18,83,86,0,18,0,18,0,18,0,18,45,72,0,18,28,45,10,19,28,45,0,18,0,18,0,18,0,18,4871,988,988,656
